marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
ctx_rh_cuneus;0.23935545664731914;0.4362001416890799;0.19684468504176075;16.822582424710674;1;4.1041991056931497e-05;-17.37009310155184;3.9314464043047717;9.950562562343216e-06;0.13761572541384856;0.3977544842490533;500
ctx_rh_entorhinal;0.23935545664731914;0.3182595493218833;0.07890409267456414;5.29543675591475;1;0.02138136848828338;26.948404098795045;11.574432585188026;0.019897771502440004;-0.0047337335958117675;0.3948909771932662;500
ctx_rh_frontalpole;0.23935545664731914;0.7202443651134398;0.48088890846612065;49.95394091271487;1;1.5739762971523104e-12;67.13543208275998;7.549619446695709;5.971773410622569e-19;0.3931387133996118;0.7301846608312603;500
ctx_rh_fusiform;0.23935545664731914;0.3404776754055325;0.10112221875821334;8.483924844494027;1;0.0035829826515551494;-9.23527257878382;3.057382193270295;0.0025223517419285467;0.0027497606817163574;0.2887747899059567;500
ctx_rh_inferiorparietal;0.23935545664731914;0.49329571495961816;0.25394025831229905;23.36725786754465;1;1.3383732737970276e-06;-5.089479334615595;1.029188681076203;7.609021646074629e-07;0.1478404784518895;0.535273200933247;500
ctx_rh_insula;0.23935545664731914;0.3129395097810157;0.07358405313369656;5.805313072623676;1;0.01597782285204762;-18.467728076400796;7.5543334596122484;0.014499134812374418;0.018970172119748704;0.3003802162555896;500
ctx_rh_inferiortemporal;0.23935545664731914;0.34512448045998506;0.10576902381266592;9.298787081196735;1;0.0022930562486268937;-8.364874794871444;2.6880354089782297;0.0018589274752935732;0.048629848490811034;0.338492107784701;500
ctx_rh_isthmuscingulate;0.23935545664731914;0.2527954490946627;0.01343999244734359;0.9762716239591214;1;0.32312101884454214;-9.931261359737414;10.023776151833989;0.32179767418680694;-0.005353886472016432;0.28521859667097;500
ctx_rh_lateraloccipital;0.23935545664731914;0.2646824100310481;0.02532695338372895;2.990959412577695;1;0.08373054691805346;-3.973532747773902;2.3206542234348166;0.08685119774982145;-0.0018757202369020236;0.2900223643667454;500
ctx_rh_lateralorbitofrontal;0.23935545664731914;0.24357451859678203;0.004219061949462893;0.20593815557271;1;0.6499698368148847;2.5071860589577812;5.514591638620529;0.6493640622923471;-0.011076400250900629;0.13371260456400344;500
